IO_RST_IBUF_inst	IOB_X0Y124	IOB18.INBUF_DCIEN	IBUF
bs_sr_reg[61]	SLICE_X181Y19	SLICEL.C5FF	FDRE
bs_sr_reg[62]	SLICE_X181Y19	SLICEL.DFF	FDRE
bs_sr_reg[63]	SLICE_X181Y19	SLICEL.D5FF	FDRE
bs_sr_reg[64]	SLICE_X181Y20	SLICEL.AFF	FDRE
bs_sr_reg[65]	SLICE_X181Y20	SLICEL.A5FF	FDRE
bs_sr_reg[66]	SLICE_X181Y21	SLICEL.AFF	FDRE
bs_sr_reg[67]	SLICE_X181Y21	SLICEL.A5FF	FDRE
bs_sr_reg[68]	SLICE_X181Y21	SLICEL.BFF	FDRE
bs_sr_reg[69]	SLICE_X181Y21	SLICEL.B5FF	FDRE
bs_sr_reg[6]	SLICE_X184Y23	SLICEM.DFF	FDRE
bs_sr_reg[70]	SLICE_X181Y21	SLICEL.CFF	FDRE
bs_sr_reg[71]	SLICE_X181Y21	SLICEL.C5FF	FDRE
bs_sr_reg[7]	SLICE_X185Y21	SLICEL.BFF	FDSE
bs_sr_reg[8]	SLICE_X184Y21	SLICEM.CFF	FDRE
bs_sr_reg[9]	SLICE_X184Y21	SLICEM.C5FF	FDRE
bs_update_BUFG_inst	BUFGCTRL_X0Y5	BUFG.BUFG	BUFG
bscan	BSCAN_X0Y0	BSCAN.BSCAN	BSCANE2
bufg_clk	BUFGCTRL_X0Y16	BUFG.BUFG	BUFG
busy_i_1	SLICE_X187Y21	SLICEL.A6LUT	LUT3
busy_reg	SLICE_X187Y21	SLICEL.AFF	FDRE
cmd_sync_reg[0]	SLICE_X185Y22	SLICEL.AFF	FDRE
cmd_sync_reg[1]	SLICE_X185Y22	SLICEL.BFF	FDRE
cmd_sync_reg[2]	SLICE_X185Y22	SLICEL.CFF	FDRE
cmd_tgl_i_1	SLICE_X184Y22	SLICEM.A6LUT	LUT1
cmd_tgl_reg	SLICE_X184Y22	SLICEM.AFF	FDRE
cmd_word_reg[0]	SLICE_X182Y22	SLICEM.AFF	FDRE
cmd_word_reg[10]	SLICE_X184Y20	SLICEM.AFF	FDRE
cmd_word_reg[11]	SLICE_X184Y22	SLICEM.A5FF	FDRE
cmd_word_reg[12]	SLICE_X184Y19	SLICEM.AFF	FDRE
cmd_word_reg[13]	SLICE_X184Y19	SLICEM.BFF	FDRE
