net	pips	fanout
rxd_addr_reg_n_0_[14]	4	1
rxd_addr_reg_n_0_[15]	4	1
rxd_addr_reg_n_0_[16]	4	1
rxd_addr_reg_n_0_[2]	4	1
rxd_addr_reg_n_0_[3]	4	1
rxd_addr_reg_n_0_[4]	4	1
rxd_addr_reg_n_0_[5]	4	1
rxd_addr_reg_n_0_[6]	3	1
rxd_addr_reg_n_0_[7]	5	1
rxd_addr_reg_n_0_[8]	5	1
rxd_addr_reg_n_0_[9]	5	1
rxd_req	19	7
rxd_req_i_2_n_0	3	1
rxd_wdata	7	7
rxd_wdata[0]_i_1_n_0	7	1
rxd_wdata[22]_i_1_n_0	10	2
rxd_wdata[4]_i_1_n_0	8	1
rxd_wdata[4]_i_2_n_0	4	1
rxd_wdata_reg_n_0_[0]	4	1
rxd_wdata_reg_n_0_[1]	4	1
rxd_wdata_reg_n_0_[22]	6	2
rxd_wdata_reg_n_0_[24]	7	4
rxd_wdata_reg_n_0_[2]	4	1
rxd_wdata_reg_n_0_[3]	4	1
rxd_wdata_reg_n_0_[4]	4	1
rxd_we	7	2
rxlen0	16	11
rxlen[0]	6	3
rxlen[10]	13	3
rxlen[10]_i_3_n_0	3	1
rxlen[10]_i_4_n_0	3	1
rxlen[10]_i_5_n_0	5	3
rxlen[10]_i_6_n_0	4	1
rxlen[1]	8	3
rxlen[2]	10	3
rxlen[3]	10	3
rxlen[4]	7	3
rxlen[5]	6	3
rxlen[6]	9	3
rxlen[7]	8	3
rxlen[7]_i_2_n_0	5	1
rxlen[8]	9	3
rxlen[9]	9	3
rxlen[9]_i_2_n_0	18	10
rxlen[9]_i_3_n_0	5	1
rxlen[9]_i_4_n_0	3	1
rxpend	27	10
rxpend_i_2_n_0	5	1
rxpend_i_3_n_0	20	7
rxpend_i_4_n_0	9	2
rxpend_i_5_n_0	4	1
rxpend_i_6_n_0	5	1
rxpend_i_7_n_0	3	1
rxpend_i_8_n_0	5	1
rxpend_i_9_n_0	5	1
sendlen	28	16
sendlen[5]_i_2_n_0	14	7
sendlen_reg_n_0_[0]	11	2
sendlen_reg_n_0_[10]	9	2
sendlen_reg_n_0_[11]	11	2
sendlen_reg_n_0_[12]	11	2
sendlen_reg_n_0_[13]	8	2
sendlen_reg_n_0_[14]	9	2
sendlen_reg_n_0_[15]	12	2
sendlen_reg_n_0_[1]	9	3
sendlen_reg_n_0_[2]	8	2
sendlen_reg_n_0_[3]	8	2
sendlen_reg_n_0_[4]	10	2
sendlen_reg_n_0_[5]	9	2
sendlen_reg_n_0_[6]	10	2
sendlen_reg_n_0_[7]	6	2
sendlen_reg_n_0_[8]	8	2
sendlen_reg_n_0_[9]	9	2
sgmii_refclk_n_IBUF	1	1
sgmii_refclk_p_IBUF	1	1
sgmii_rxn_IBUF	1	1
sgmii_rxp_IBUF	1	1
sgmii_txn_OBUF	1	1
sgmii_txp_OBUF	1	1
st[3]_i_3_n_0	7	2
st[3]_i_5_n_0	5	1
st[3]_i_6_n_0	3	1
st[3]_i_7_n_0	5	1
st_reg_n_0_[0]	104	51
st_reg_n_0_[1]	96	46
st_reg_n_0_[2]	88	40
st_reg_n_0_[3]	110	53
st_ret[0]_i_1_n_0	7	1
st_ret[3]_i_1_n_0	11	4
st_ret[3]_i_3_n_0	12	4
st_ret[3]_i_4_n_0	4	1
st_ret_reg_n_0_[0]	7	2
st_ret_reg_n_0_[1]	9	2
st_ret_reg_n_0_[2]	7	2
st_ret_reg_n_0_[3]	6	2
status_sync0[0]	8	1
status_sync0[1]	5	1
status_sync0[2]	7	1
status_sync0[3]	7	1
sysclk	11	1
sysclk_ibuf	8	1
tst3[10]	4	2
tst3[11]	4	2
tst3[12]	4	2
tst3[13]	5	2
tst3[14]	4	2
tst3[15]	5	2
tst3[2]	4	2
tst3[3]	3	2
tst3[4]	4	2
tst3[5]	4	2
tst3[6]	4	2
tst3[7]	4	2
tst3[8]	3	2
tst3[9]	5	2
tst__0[0]	100	39
tst__0[1]	180	84
tst__0[2]	164	80
tst__0[3]	100	43
tst__1[0]	6	1
txl_addr[10]_i_1_n_0	4	1
txl_addr[11]_i_4_n_0	4	1
txl_addr[11]_i_5_n_0	5	1
txl_addr[11]_i_6_n_0	3	1
txl_addr[11]_i_7_n_0	3	1
txl_addr[13]_i_1_n_0	4	1
txl_addr[15]_i_1_n_0	30	12
txl_addr[15]_i_2_n_0	31	12
txl_addr[15]_i_3_n_0	5	1
txl_addr[15]_i_4_n_0	8	2
txl_addr[15]_i_5_n_0	21	7
txl_addr[15]_i_6_n_0	6	2
txl_addr[15]_i_7_n_0	3	1
txl_addr__0[11]	3	1
txl_addr__0[4]	3	1
txl_addr_reg_n_0_[10]	4	1
txl_addr_reg_n_0_[11]	8	2
txl_addr_reg_n_0_[12]	5	1
txl_addr_reg_n_0_[13]	5	1
txl_addr_reg_n_0_[14]	6	1
txl_addr_reg_n_0_[15]	6	1
txl_addr_reg_n_0_[2]	6	1
txl_addr_reg_n_0_[3]	5	1
txl_addr_reg_n_0_[4]	8	2
txl_addr_reg_n_0_[5]	5	1
txl_addr_reg_n_0_[6]	5	1
txl_addr_reg_n_0_[7]	4	1
txl_addr_reg_n_0_[8]	4	1
txl_addr_reg_n_0_[9]	4	1
txl_req_i_2_n_0	4	1
txl_req_i_3_n_0	3	1
txl_req_i_4_n_0	3	1
txl_req_i_5_n_0	4	1
txl_req_i_6_n_0	4	1
txl_req_reg_n_0	63	34
txl_wdata0_in[27]	3	1
txl_wdata[15]_i_1_n_0	11	16
txl_wdata[31]_i_1_n_0	14	15
txl_wdata[31]_i_2_n_0	23	31
txl_wdata[31]_i_4_n_0	11	4
txl_wdata__0[0]	4	1
txl_wdata__0[10]	6	1
txl_wdata__0[11]	5	1
txl_wdata__0[12]	5	1
txl_wdata__0[13]	4	1
txl_wdata__0[14]	6	1
txl_wdata__0[15]	4	1
txl_wdata__0[16]	5	1
txl_wdata__0[17]	3	1
txl_wdata__0[18]	6	1
txl_wdata__0[19]	7	1
txl_wdata__0[1]	4	1
txl_wdata__0[20]	6	1
txl_wdata__0[21]	6	1
txl_wdata__0[22]	4	1
txl_wdata__0[23]	7	1
txl_wdata__0[24]	4	1
txl_wdata__0[25]	5	1
